x,y,water
306,733,True
306,734,True
306,735,True
306,736,True
306,737,True
306,738,True
306,739,True
306,740,True
306,741,True
306,742,True
306,743,True
306,744,True
306,745,True
306,746,True
306,747,True
306,748,True
306,749,True
306,750,True
306,751,True
306,752,True
306,753,True
306,754,True
306,755,True
306,756,True
306,757,True
306,758,True
306,759,True
306,760,True
306,761,True
306,762,True
306,763,True
306,764,True
306,765,True
306,766,True
306,767,True
306,768,True
306,769,True
306,770,True
306,771,True
306,772,True
306,773,True
306,774,True
306,775,True
306,776,True
307,777,True
307,778,True
307,779,True
308,780,True
308,781,True
308,782,True
309,783,True
309,784,True
309,785,True
310,786,True
310,787,True
310,788,True
311,789,True
311,790,True
311,791,True
312,792,True
312,793,True
312,794,True
313,795,True
313,796,True
313,797,True
314,798,True
314,799,True
314,800,True
315,801,True
315,802,True
315,803,True
316,804,True
316,805,True
317,805,True
318,805,True
319,806,True
320,806,True
321,806,True
322,806,True
323,806,True
324,806,True
325,807,True
326,807,True
327,807,True
328,807,True
329,807,True
330,807,True
331,808,True
332,808,True
333,808,True
334,808,True
335,808,True
336,808,True
337,809,True
338,809,True
339,809,True
340,809,True
341,809,True
342,809,True
343,810,True
344,810,True
345,810,True
346,810,True
347,810,True
348,810,True
349,811,True
350,811,True
351,811,True
352,811,True
353,811,True
354,811,True
355,812,True
356,812,True
357,812,True
358,812,True
359,812,True
360,812,True
361,813,True
362,813,True
363,813,True
364,813,True
365,813,True
366,813,True
367,814,True
368,814,True
369,814,True
370,814,True
371,814,True
372,814,True
373,815,True
374,815,True
375,815,True
376,815,True
377,815,True
378,815,True
379,816,True
380,816,True
381,816,True
382,816,True
383,816,True
384,816,True
385,817,True
386,817,True
387,817,True
388,817,True
389,817,True
390,817,True
391,818,True
392,818,True
393,818,True
394,818,True
395,818,True
396,818,True
397,819,True
398,819,True
399,819,True
400,819,True
401,819,True
402,819,True
403,820,True
404,820,True
405,820,True
406,820,True
407,820,True
408,820,True
409,821,True
410,821,True
411,821,True
412,821,True
413,821,True
414,821,True
415,822,True
416,822,True
417,822,True
418,822,True
419,822,True
420,822,True
421,823,True
422,823,True
423,823,True
424,823,True
425,823,True
426,823,True
427,824,True
428,824,True
429,824,True
430,824,True
431,824,True
432,824,True
433,825,True
434,825,True
435,825,True
436,825,True
437,825,True
438,825,True
439,826,True
440,826,True
441,826,True
442,826,True
443,826,True
444,826,True
445,827,True
446,827,True
447,827,True
448,827,True
449,827,True
450,827,True
451,828,True
452,828,True
453,828,True
454,828,True
455,828,True
456,828,True
457,829,True
458,829,True
459,829,True
460,829,True
461,829,True
462,829,True
463,830,True
464,830,True
465,830,True
466,830,True
467,830,True
468,830,True
469,831,True
470,831,True
471,831,True
472,831,True
473,831,True
474,831,True
475,832,True
476,832,True
477,832,True
478,832,True
479,832,True
480,832,True
481,833,True
482,833,True
483,833,True
484,833,True
485,833,True
486,833,True
487,834,True
488,834,True
489,834,True
490,834,True
491,835,True
492,835,True
493,835,True
494,835,True
495,836,True
496,836,True
497,836,True
498,836,True
499,837,True
500,837,True
501,837,True
502,837,True
503,838,True
504,838,True
505,838,True
506,838,True
507,839,True
508,839,True
509,839,True
510,839,True
511,840,True
512,840,True
513,840,True
514,840,True
515,841,True
516,841,True
517,841,True
518,841,True
519,842,True
520,842,True
521,842,True
522,842,True
523,843,True
524,843,True
525,843,True
526,843,True
527,844,True
528,844,True
529,844,True
530,844,True
531,845,True
532,845,True
533,845,True
534,845,True
535,846,True
536,846,True
537,846,True
538,846,True
539,847,True
540,847,True
541,847,True
542,847,True
543,848,True
544,848,True
545,848,True
546,848,True
547,849,True
548,849,True
549,849,True
550,849,True
551,849,True
552,850,True
553,850,True
