x,y
684,433
685,423
685,431
686,421
686,428
687,419
687,426
688,417
688,424
689,414
689,422
690,412
690,420
691,410
691,418
692,408
692,415
693,406
693,413
694,404
694,411
695,401
695,409
696,399
696,407
697,397
697,405
698,395
698,402
699,393
699,400
700,391
700,398
701,388
701,396
702,386
702,394
703,384
703,392
704,382
704,389
705,380
705,387
706,378
706,385
707,375
707,383
708,373
708,381
709,371
709,379
710,369
710,376
711,367
711,374
712,365
712,372
713,363
713,370
714,360
714,368
715,358
715,366
716,356
716,364
717,354
717,361
718,352
718,359
719,350
719,357
720,347
720,355
721,345
721,353
722,343
722,351
723,341
723,348
724,339
724,346
725,337
725,344
726,334
726,342
727,332
727,340
728,330
728,338
729,328
729,335
730,326
730,333
731,324
731,331
732,321
732,329
733,319
733,327
734,317
734,325
735,315
735,322
736,313
736,320
737,311
737,318
738,308
738,316
739,306
739,314
740,304
740,312
741,302
741,309
742,300
742,307
743,298
743,305
744,295
744,303
745,293
745,301
746,291
746,299
747,289
747,296
748,287
748,294
749,285
749,292
750,282
750,290
751,280
751,288
752,278
752,286
753,276
753,283
754,274
754,281
755,272
755,279
756,269
756,277
757,267
757,275
758,265
758,273
759,263
759,270
760,261
760,268
761,259
761,266
762,257
762,264
763,254
763,262
764,252
764,260
765,250
765,258
766,248
766,255
767,246
767,253
768,244
768,251
769,241
769,249
770,239
770,247
771,237
771,245
772,235
772,242
773,233
773,240
774,231
774,238
775,228
775,236
776,226
776,234
777,224
777,232
778,222
778,229
779,220
779,227
780,218
780,225
781,215
781,223
782,213
782,221
783,211
783,219
784,209
784,216
785,207
785,214
786,205
786,212
787,197
787,210
788,183
788,208
789,176
789,206
790,175
790,198
791,174
791,184
792,173
792,177
793,172
793,176
794,170
794,175
795,169
795,174
796,168
796,173
797,167
797,171
798,166
798,170
799,165
799,169
800,164
800,168
801,163
801,167
802,162
802,166
803,161
803,165
804,160
804,164
805,158
805,163
806,157
806,162
807,156
807,161
808,155
808,159
809,154
809,158
810,153
810,157
811,152
811,156
812,151
812,155
813,150
813,154
814,149
814,153
815,147
815,152
